"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"15336","Cities in Motion Collection","PC","2011","Simulation","Unknown",0,0.02,0,0,0.02,NA,NA,97,NA,"Paradox Interactive","E"
"15337","Date A Live: Arusu Install","PS3","2014","Adventure","Compile Heart",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15344","Veggy World","DS","2011","Shooter","Jack of All Games",0.02,0,0,0,0.02,NA,NA,97,NA,"Jack of All Games","E"
"15349","Higurashi Daybreak Portable Mega Edition","PSP","2009","Adventure","Alchemist",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15352","Shinken de Watashi ni Koi Shinasai! R","PS3","2012","Action","Minato Station",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15354","Shiratsuyu no Kai","PSP","2013","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15355","Rugby League Team Manager 2015","PC","2015","Action","Alternative Software",0,0.02,0,0,0.02,NA,NA,97,NA,"Alternative Software",""
"15362","Touhou Genso Rondo: Bullet Ballet","PS4","2016","Shooter","Nippon Ichi Software",0.02,0,0,0,0.02,55,19,46,34,"Mediascape, CUBETYPE","E10+"
"15364","Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!","PSP","2010","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15367","Atari Flashback Classics: Volume 1","XOne","2016","Misc","Atari",0.02,0,0,0,0.02,NA,NA,97,NA,"Atari, Atari SA","E"
